Datetime,COMED_MW,Consumption
2011-01-02,10878.702127659575,Basso
2011-01-09,12324.511904761905,Alto
2011-01-16,12268.535714285714,Alto
2011-01-23,12617.39880952381,Alto
2011-01-30,12145.39880952381,Alto
2011-02-06,12152.125,Alto
2011-02-13,12393.833333333334,Alto
2011-02-20,11178.184523809523,Basso
2011-02-27,11664.886904761905,Alto
2011-03-06,11412.291666666666,Basso
2011-03-13,11241.185628742514,Basso
2011-03-20,10596.625,Basso
2011-03-27,10918.113095238095,Basso
2011-04-03,10635.869047619048,Basso
2011-04-10,10334.14880952381,Basso
2011-04-17,10166.488095238095,Basso
2011-04-24,10265.494047619048,Basso
2011-05-01,10024.261904761905,Basso
2011-05-08,9872.422619047618,Basso
2011-05-15,11064.613095238095,Basso
2011-05-22,10259.30357142857,Basso
2011-05-29,10263.214285714286,Basso
2011-06-05,12234.279761904761,Alto
2011-06-12,12843.315476190477,Alto
2011-06-19,11499.797619047618,Alto
2011-06-26,11916.160714285714,Alto
2011-07-03,13427.07142857143,Alto
2011-07-10,14030.041666666666,Alto
2011-07-17,14131.577380952382,Alto
2011-07-24,17226.375,Alto
2011-07-31,15220.297619047618,Alto
2011-08-07,15662.25,Alto
2011-08-14,12668.952380952382,Alto
2011-08-21,13256.994047619048,Alto
2011-08-28,12868.625,Alto
2011-09-04,13919.25,Alto
2011-09-11,10415.77380952381,Basso
2011-09-18,10669.44642857143,Basso
2011-09-25,10125.815476190477,Basso
2011-10-02,10029.291666666666,Basso
2011-10-09,10511.922619047618,Basso
2011-10-16,10361.541666666666,Basso
2011-10-23,10331.577380952382,Basso
2011-10-30,10288.702380952382,Basso
2011-11-06,10392.976047904192,Basso
2011-11-13,10641.488095238095,Basso
2011-11-20,10760.244047619048,Basso
2011-11-27,10158.327380952382,Basso
2011-12-04,11216.994047619048,Basso
2011-12-11,11681.863095238095,Alto
2011-12-18,11532.672619047618,Alto
2011-12-25,11123.10119047619,Basso
2012-01-01,10730.470238095239,Basso
2012-01-08,11270.30357142857,Basso
2012-01-15,11573.488095238095,Alto
2012-01-22,12181.619047619048,Alto
2012-01-29,11529.809523809523,Alto
2012-02-05,10999.19642857143,Basso
2012-02-12,11761.839285714286,Alto
2012-02-19,11225.47619047619,Basso
2012-02-26,11221.517857142857,Basso
2012-03-04,11114.25,Basso
2012-03-11,10611.706586826347,Basso
2012-03-18,10283.142857142857,Basso
2012-03-25,10628.922619047618,Basso
2012-04-01,9924.672619047618,Basso
2012-04-08,9660.017857142857,Basso
2012-04-15,9971.89880952381,Basso
2012-04-22,9935.160714285714,Basso
2012-04-29,9922.672619047618,Basso
2012-05-06,10376.845238095239,Basso
2012-05-13,9885.75,Basso
2012-05-20,10973.125,Basso
2012-05-27,11574.982142857143,Alto
2012-06-03,11064.25,Basso
2012-06-10,11870.958333333334,Alto
2012-06-17,13083.19642857143,Alto
2012-06-24,14959.80357142857,Alto
2012-07-01,14410.291666666666,Alto
2012-07-08,17219.583333333332,Alto
2012-07-15,14587.404761904761,Alto
2012-07-22,15929.559523809523,Alto
2012-07-29,15197.327380952382,Alto
2012-08-05,15328.583333333334,Alto
2012-08-12,12630.69642857143,Alto
2012-08-19,11577.511904761905,Alto
2012-08-26,13073.732142857143,Alto
2012-09-02,13809.886904761905,Alto
2012-09-09,12843.666666666666,Alto
2012-09-16,11118.142857142857,Basso
2012-09-23,10097.208333333334,Basso
2012-09-30,10046.857142857143,Basso
2012-10-07,10122.494047619048,Basso
2012-10-14,10182.35119047619,Basso
2012-10-21,10087.202380952382,Basso
2012-10-28,10344.910714285714,Basso
2012-11-04,10491.449101796406,Basso
2012-11-11,10558.654761904761,Basso
2012-11-18,10767.315476190477,Basso
2012-11-25,10129.72619047619,Basso
2012-12-02,11010.125,Basso
2012-12-09,10979.77380952381,Basso
2012-12-16,11378.488095238095,Basso
2012-12-23,11587.714285714286,Alto
2012-12-30,11045.5,Basso
2013-01-06,11498.392857142857,Alto
2013-01-13,11330.732142857143,Basso
2013-01-20,11846.690476190477,Alto
2013-01-27,12641.55357142857,Alto
2013-02-03,12029.589285714286,Alto
2013-02-10,11848.892857142857,Alto
2013-02-17,11661.589285714286,Alto
2013-02-24,11943.613095238095,Alto
2013-03-03,11556.32142857143,Alto
2013-03-10,11366.808383233532,Basso
2013-03-17,11308.875,Basso
2013-03-24,11392.690476190477,Basso
2013-03-31,10362.80357142857,Basso
2013-04-07,10351.684523809523,Basso
2013-04-14,10455.10119047619,Basso
2013-04-21,10373.511904761905,Basso
2013-04-28,9939.494047619048,Basso
2013-05-05,10071.44642857143,Basso
2013-05-12,9895.827380952382,Basso
2013-05-19,10778.142857142857,Basso
2013-05-26,10900.761904761905,Basso
2013-06-02,10991.494047619048,Basso
2013-06-09,10078.047619047618,Basso
2013-06-16,11706.654761904761,Alto
2013-06-23,12293.488095238095,Alto
2013-06-30,12726.708333333334,Alto
2013-07-07,11432.119047619048,Alto
2013-07-14,13986.44642857143,Alto
2013-07-21,16647.309523809523,Alto
2013-07-28,11836.940476190477,Alto
2013-08-04,11446.172619047618,Alto
2013-08-11,12564.910714285714,Alto
2013-08-18,11590.255952380952,Alto
2013-08-25,13534.077380952382,Alto
2013-09-01,14935.422619047618,Alto
2013-09-08,12047.988095238095,Alto
2013-09-15,13173.809523809523,Alto
2013-09-22,10813.595238095239,Basso
2013-09-29,10439.779761904761,Basso
2013-10-06,11106.607142857143,Basso
2013-10-13,10193.654761904761,Basso
2013-10-20,10095.636904761905,Basso
2013-10-27,10484.815476190477,Basso
2013-11-03,10385.173652694612,Basso
2013-11-10,10527.511904761905,Basso
2013-11-17,10963.494047619048,Basso
2013-11-24,11167.869047619048,Basso
2013-12-01,11105.267857142857,Basso
2013-12-08,11777.113095238095,Alto
2013-12-15,12842.17857142857,Alto
2013-12-22,12214.214285714286,Alto
2013-12-29,11523.82142857143,Alto
2014-01-05,12393.44642857143,Alto
2014-01-12,13030.547619047618,Alto
2014-01-19,12315.880952380952,Alto
2014-01-26,13082.25,Alto
2014-02-02,13007.05357142857,Alto
2014-02-09,12855.160714285714,Alto
2014-02-16,12606.416666666666,Alto
2014-02-23,11680.065476190477,Alto
2014-03-02,12646.886904761905,Alto
2014-03-09,12002.688622754491,Alto
2014-03-16,11186.720238095239,Basso
2014-03-23,10987.672619047618,Basso
2014-03-30,11032.630952380952,Basso
2014-04-06,10478.30357142857,Basso
2014-04-13,9968.440476190477,Basso
2014-04-20,9971.130952380952,Basso
2014-04-27,9771.44642857143,Basso
2014-05-04,9797.5,Basso
2014-05-11,10136.69642857143,Basso
2014-05-18,10223.32142857143,Basso
2014-05-25,10569.714285714286,Basso
2014-06-01,11420.732142857143,Alto
2014-06-08,11431.482142857143,Alto
2014-06-15,10648.666666666666,Basso
2014-06-22,13219.0,Alto
2014-06-29,13074.613095238095,Alto
2014-07-06,11580.17857142857,Alto
2014-07-13,12952.488095238095,Alto
2014-07-20,11365.386904761905,Basso
2014-07-27,12720.14880952381,Alto
2014-08-03,11802.357142857143,Alto
2014-08-10,12464.363095238095,Alto
2014-08-17,11515.244047619048,Alto
2014-08-24,13726.72619047619,Alto
2014-08-31,13612.547619047618,Alto
2014-09-07,12778.202380952382,Alto
2014-09-14,10683.577380952382,Basso
2014-09-21,10025.785714285714,Basso
2014-09-28,10255.630952380952,Basso
2014-10-05,10133.636904761905,Basso
2014-10-12,9769.208333333334,Basso
2014-10-19,9947.172619047618,Basso
2014-10-26,9920.613095238095,Basso
2014-11-02,10318.082840236686,Basso
2014-11-09,10407.011904761905,Basso
2014-11-16,11135.714285714286,Basso
2014-11-23,11935.244047619048,Alto
2014-11-30,11005.77380952381,Basso
2014-12-07,11722.779761904761,Alto
2014-12-14,11579.190476190477,Alto
2014-12-21,11648.654761904761,Alto
2014-12-28,10441.767857142857,Basso
2015-01-04,11375.517857142857,Basso
2015-01-11,13403.910714285714,Alto
2015-01-18,12058.654761904761,Alto
2015-01-25,11415.011904761905,Basso
2015-02-01,11696.0,Alto
2015-02-08,11925.869047619048,Alto
2015-02-15,12202.577380952382,Alto
2015-02-22,12780.595238095239,Alto
2015-03-01,12561.672619047618,Alto
2015-03-08,11736.68263473054,Alto
2015-03-15,10258.92857142857,Basso
2015-03-22,10205.095238095239,Basso
2015-03-29,10927.863095238095,Basso
2015-04-05,9720.279761904761,Basso
2015-04-12,9965.565476190477,Basso
2015-04-19,9656.595238095239,Basso
2015-04-26,10007.57142857143,Basso
2015-05-03,9706.863095238095,Basso
2015-05-10,10235.047619047618,Basso
2015-05-17,10254.434523809523,Basso
2015-05-24,9962.67857142857,Basso
2015-05-31,10758.892857142857,Basso
2015-06-07,10257.767857142857,Basso
2015-06-14,12018.232142857143,Alto
2015-06-21,11525.059523809523,Alto
2015-06-28,11683.75,Alto
2015-07-05,10622.583333333334,Basso
2015-07-12,11400.029761904761,Basso
2015-07-19,13304.970238095239,Alto
2015-07-26,13431.095238095239,Alto
2015-08-02,14441.613095238095,Alto
2015-08-09,12893.892857142857,Alto
2015-08-16,13598.345238095239,Alto
2015-08-23,12475.565476190477,Alto
2015-08-30,10557.89880952381,Basso
2015-09-06,14335.916666666666,Alto
2015-09-13,11345.779761904761,Basso
2015-09-20,11322.345238095239,Basso
2015-09-27,10712.416666666666,Basso
2015-10-04,10029.35119047619,Basso
2015-10-11,9859.10119047619,Basso
2015-10-18,9711.113095238095,Basso
2015-10-25,9803.357142857143,Basso
2015-11-01,9919.236686390532,Basso
2015-11-08,9945.607142857143,Basso
2015-11-15,10102.30357142857,Basso
2015-11-22,10520.89880952381,Basso
2015-11-29,10182.17857142857,Basso
2015-12-06,10912.67857142857,Basso
2015-12-13,10619.863095238095,Basso
2015-12-20,11138.05357142857,Basso
2015-12-27,10123.339285714286,Basso
2016-01-03,10909.279761904761,Basso
2016-01-10,11391.785714285714,Basso
2016-01-17,12248.529761904761,Alto
2016-01-24,12277.779761904761,Alto
2016-01-31,11200.19642857143,Basso
2016-02-07,11121.797619047618,Basso
2016-02-14,12192.02380952381,Alto
2016-02-21,10986.208333333334,Basso
2016-02-28,10757.720238095239,Basso
2016-03-06,10985.684523809523,Basso
2016-03-13,9945.754491017964,Basso
2016-03-20,9946.702380952382,Basso
2016-03-27,9962.69642857143,Basso
2016-04-03,9933.035714285714,Basso
2016-04-10,10486.880952380952,Basso
2016-04-17,9827.779761904761,Basso
2016-04-24,9621.017857142857,Basso
2016-05-01,9875.107142857143,Basso
2016-05-08,9606.607142857143,Basso
2016-05-15,9662.827380952382,Basso
2016-05-22,9609.19642857143,Basso
2016-05-29,11914.17857142857,Alto
2016-06-05,11484.82142857143,Alto
2016-06-12,11711.613095238095,Alto
2016-06-19,13088.208333333334,Alto
2016-06-26,13716.07142857143,Alto
2016-07-03,11543.25,Alto
2016-07-10,12880.565476190477,Alto
2016-07-17,13723.833333333334,Alto
2016-07-24,15412.857142857143,Alto
2016-07-31,14067.690476190477,Alto
2016-08-07,14414.202380952382,Alto
2016-08-14,14883.982142857143,Alto
2016-08-21,13652.738095238095,Alto
2016-08-28,13039.267857142857,Alto
2016-09-04,12252.17857142857,Alto
2016-09-11,13363.05357142857,Alto
2016-09-18,11896.10119047619,Alto
2016-09-25,12059.19642857143,Alto
2016-10-02,9939.708333333334,Basso
2016-10-09,10105.434523809523,Basso
2016-10-16,9829.113095238095,Basso
2016-10-23,10250.363095238095,Basso
2016-10-30,10029.083333333334,Basso
2016-11-06,9836.408284023668,Basso
2016-11-13,9832.72619047619,Basso
2016-11-20,10104.738095238095,Basso
2016-11-27,10120.547619047618,Basso
2016-12-04,10827.327380952382,Basso
2016-12-11,11828.934523809523,Alto
2016-12-18,12777.238095238095,Alto
2016-12-25,11783.470238095239,Alto
2017-01-01,10754.35119047619,Basso
2017-01-08,12149.166666666666,Alto
2017-01-15,11838.32142857143,Alto
2017-01-22,10865.488095238095,Basso
2017-01-29,11240.369047619048,Basso
2017-02-05,11524.857142857143,Alto
2017-02-12,10989.922619047618,Basso
2017-02-19,10319.27380952381,Basso
2017-02-26,10143.815476190477,Basso
2017-03-05,10522.422619047618,Basso
2017-03-12,10440.640718562874,Basso
2017-03-19,10938.720238095239,Basso
2017-03-26,10162.755952380952,Basso
2017-04-02,10064.52380952381,Basso
2017-04-09,9953.089285714286,Basso
2017-04-16,9477.416666666666,Basso
2017-04-23,9486.392857142857,Basso
2017-04-30,9740.279761904761,Basso
2017-05-07,9609.285714285714,Basso
2017-05-14,9554.666666666666,Basso
2017-05-21,10656.232142857143,Basso
2017-05-28,9652.970238095239,Basso
2017-06-04,10602.55357142857,Basso
2017-06-11,11758.19642857143,Alto
2017-06-18,14073.464285714286,Alto
2017-06-25,11658.89880952381,Alto
2017-07-02,11454.80357142857,Alto
2017-07-09,12790.660714285714,Alto
2017-07-16,12757.875,Alto
2017-07-23,13808.458333333334,Alto
2017-07-30,12638.214285714286,Alto
2017-08-06,12262.672619047618,Alto
2017-08-13,11592.863095238095,Alto
2017-08-20,13071.55357142857,Alto
2017-08-27,11426.190476190477,Alto
2017-09-03,10646.470238095239,Basso
2017-09-10,9662.97619047619,Basso
2017-09-17,11323.339285714286,Basso
2017-09-24,13813.64880952381,Alto
2017-10-01,11327.07142857143,Basso
2017-10-08,10578.172619047618,Basso
2017-10-15,9913.059523809523,Basso
2017-10-22,9711.666666666666,Basso
2017-10-29,10012.369047619048,Basso
2017-11-05,10160.508875739644,Basso
2017-11-12,10721.89880952381,Basso
2017-11-19,10777.880952380952,Basso
2017-11-26,10085.529761904761,Basso
2017-12-03,10356.517857142857,Basso
2017-12-10,11303.55357142857,Basso
2017-12-17,11611.035714285714,Alto
2017-12-24,11033.142857142857,Basso
2017-12-31,12282.964285714286,Alto
2018-01-07,13040.863095238095,Alto
2018-01-14,11767.32142857143,Alto
2018-01-21,11865.672619047618,Alto
2018-01-28,10908.690476190477,Basso
2018-02-04,11785.0,Alto
2018-02-11,12169.035714285714,Alto
2018-02-18,11321.744047619048,Basso
2018-02-25,10734.119047619048,Basso
2018-03-04,10317.095238095239,Basso
2018-03-11,10835.964071856288,Basso
2018-03-18,10642.39880952381,Basso
2018-03-25,10485.880952380952,Basso
2018-04-01,9971.05357142857,Basso
2018-04-08,10619.964285714286,Basso
2018-04-15,10273.720238095239,Basso
2018-04-22,10301.041666666666,Basso
2018-04-29,9543.892857142857,Basso
2018-05-06,10164.291666666666,Basso
2018-05-13,9907.875,Basso
2018-05-20,9882.708333333334,Basso
2018-05-27,11612.22619047619,Alto
2018-06-03,12402.541666666666,Alto
2018-06-10,10586.809523809523,Basso
2018-06-17,12683.452380952382,Alto
2018-06-24,12200.619047619048,Alto
2018-07-01,14197.458333333334,Alto
2018-07-08,13430.065476190477,Alto
2018-07-15,14472.357142857143,Alto
2018-07-22,12908.464285714286,Alto
2018-07-29,12427.92857142857,Alto
2018-08-05,12815.649484536083,Alto
