Datetime,DEOK_MW,Consumption
2012-01-01,2629.913043478261,Basso
2012-01-08,3115.7619047619046,Alto
2012-01-15,3216.5535714285716,Alto
2012-01-22,3315.5535714285716,Alto
2012-01-29,3139.9226190476193,Alto
2012-02-05,2907.184523809524,Basso
2012-02-12,3250.595238095238,Alto
2012-02-19,3092.410714285714,Basso
2012-02-26,3023.565476190476,Basso
2012-03-04,2882.690476190476,Basso
2012-03-11,2877.4191616766466,Basso
2012-03-18,2648.5535714285716,Basso
2012-03-25,2784.9226190476193,Basso
2012-04-01,2594.6369047619046,Basso
2012-04-08,2539.535714285714,Basso
2012-04-15,2628.9583333333335,Basso
2012-04-22,2621.375,Basso
2012-04-29,2626.8809523809523,Basso
2012-05-06,3025.0416666666665,Basso
2012-05-13,2740.4523809523807,Basso
2012-05-20,2867.2380952380954,Basso
2012-05-27,3298.315476190476,Alto
2012-06-03,3058.1071428571427,Basso
2012-06-10,3014.720238095238,Basso
2012-06-17,3350.279761904762,Alto
2012-06-24,3760.0119047619046,Alto
2012-07-01,3635.6011904761904,Alto
2012-07-08,4160.267857142857,Alto
2012-07-15,3709.8273809523807,Alto
2012-07-22,3772.1130952380954,Alto
2012-07-29,3862.940476190476,Alto
2012-08-05,3849.029761904762,Alto
2012-08-12,3440.6309523809523,Alto
2012-08-19,3231.0416666666665,Alto
2012-08-26,3358.089285714286,Alto
2012-09-02,3585.470238095238,Alto
2012-09-09,3307.6071428571427,Alto
2012-09-16,2866.6190476190477,Basso
2012-09-23,2625.5238095238096,Basso
2012-09-30,2623.1130952380954,Basso
2012-10-07,2623.6428571428573,Basso
2012-10-14,2649.6011904761904,Basso
2012-10-21,2619.4523809523807,Basso
2012-10-28,2695.1488095238096,Basso
2012-11-04,2891.7664670658683,Basso
2012-11-11,2785.9166666666665,Basso
2012-11-18,2932.214285714286,Basso
2012-11-25,2719.2321428571427,Basso
2012-12-02,2973.970238095238,Basso
2012-12-09,2840.5119047619046,Basso
2012-12-16,3093.1011904761904,Basso
2012-12-23,3115.470238095238,Alto
2012-12-30,3083.6488095238096,Basso
2013-01-06,3174.565476190476,Alto
2013-01-13,2964.6011904761904,Basso
2013-01-20,3192.4821428571427,Alto
2013-01-27,3604.565476190476,Alto
2013-02-03,3275.6428571428573,Alto
2013-02-10,3207.904761904762,Alto
2013-02-17,3146.9464285714284,Alto
2013-02-24,3230.029761904762,Alto
2013-03-03,3209.0,Alto
2013-03-10,3133.8383233532936,Alto
2013-03-17,3028.8988095238096,Basso
2013-03-24,3136.3333333333335,Alto
2013-03-31,2919.7261904761904,Basso
2013-04-07,2792.1071428571427,Basso
2013-04-14,2686.4940476190477,Basso
2013-04-21,2652.8511904761904,Basso
2013-04-28,2626.1071428571427,Basso
2013-05-05,2704.4226190476193,Basso
2013-05-12,2647.375,Basso
2013-05-19,2906.0714285714284,Basso
2013-05-26,2920.6488095238096,Basso
2013-06-02,3209.0238095238096,Alto
2013-06-09,2910.2738095238096,Basso
2013-06-16,3280.940476190476,Alto
2013-06-23,3435.0416666666665,Alto
2013-06-30,3446.220238095238,Alto
2013-07-07,2973.1130952380954,Basso
2013-07-14,3541.9285714285716,Alto
2013-07-21,4001.8273809523807,Alto
2013-07-28,3144.0833333333335,Alto
2013-08-04,3101.7619047619046,Basso
2013-08-11,3449.8809523809523,Alto
2013-08-18,3085.720238095238,Basso
2013-08-25,3499.4940476190477,Alto
2013-09-01,3778.904761904762,Alto
2013-09-08,3248.779761904762,Alto
2013-09-15,3380.0476190476193,Alto
2013-09-22,2927.5773809523807,Basso
2013-09-29,2727.4761904761904,Basso
2013-10-06,3002.720238095238,Basso
2013-10-13,2634.964285714286,Basso
2013-10-20,2669.2678571428573,Basso
2013-10-27,2813.2083333333335,Basso
2013-11-03,2719.197604790419,Basso
2013-11-10,2753.5416666666665,Basso
2013-11-17,2911.839285714286,Basso
2013-11-24,2989.3273809523807,Basso
2013-12-01,3120.809523809524,Alto
2013-12-08,3123.3214285714284,Alto
2013-12-15,3493.845238095238,Alto
2013-12-22,3123.9226190476193,Alto
2013-12-29,3053.8809523809523,Basso
2014-01-05,3331.190476190476,Alto
2014-01-12,3637.3928571428573,Alto
2014-01-19,3383.9285714285716,Alto
2014-01-26,3847.934523809524,Alto
2014-02-02,3697.1190476190477,Alto
2014-02-09,3612.2619047619046,Alto
2014-02-16,3621.7083333333335,Alto
2014-02-23,3107.2678571428573,Alto
2014-03-02,3441.2916666666665,Alto
2014-03-09,3255.748502994012,Alto
2014-03-16,2979.684523809524,Basso
2014-03-23,2911.7619047619046,Basso
2014-03-30,3028.684523809524,Basso
2014-04-06,2718.309523809524,Basso
2014-04-13,2682.440476190476,Basso
2014-04-20,2675.4523809523807,Basso
2014-04-27,2579.4821428571427,Basso
2014-05-04,2570.9761904761904,Basso
2014-05-11,2806.2619047619046,Basso
2014-05-18,2864.3869047619046,Basso
2014-05-25,2826.1428571428573,Basso
2014-06-01,3303.5416666666665,Alto
2014-06-08,3191.6190476190477,Alto
2014-06-15,2973.3035714285716,Basso
2014-06-22,3685.7738095238096,Alto
2014-06-29,3665.0238095238096,Alto
2014-07-06,3255.8273809523807,Alto
2014-07-13,3497.625,Alto
2014-07-20,3008.7619047619046,Basso
2014-07-27,3394.029761904762,Alto
2014-08-03,3119.529761904762,Alto
2014-08-10,3335.9464285714284,Alto
2014-08-17,3158.875,Alto
2014-08-24,3660.5714285714284,Alto
2014-08-31,3747.029761904762,Alto
2014-09-07,3480.904761904762,Alto
2014-09-14,2963.095238095238,Basso
2014-09-21,2747.535714285714,Basso
2014-09-28,2800.0535714285716,Basso
2014-10-05,2813.8214285714284,Basso
2014-10-12,2662.6190476190477,Basso
2014-10-19,2665.6785714285716,Basso
2014-10-26,2668.2559523809523,Basso
2014-11-02,2764.2189349112427,Basso
2014-11-09,2770.6726190476193,Basso
2014-11-16,3038.309523809524,Basso
2014-11-23,3301.470238095238,Alto
2014-11-30,2935.5714285714284,Basso
2014-12-07,3192.940476190476,Alto
2014-12-14,3186.559523809524,Alto
2014-12-21,3247.779761904762,Alto
2014-12-28,2841.5833333333335,Basso
2015-01-04,3103.8214285714284,Basso
2015-01-11,3856.7976190476193,Alto
2015-01-18,3370.5833333333335,Alto
2015-01-25,3118.345238095238,Alto
2015-02-01,3406.8214285714284,Alto
2015-02-08,3337.8333333333335,Alto
2015-02-15,3496.7976190476193,Alto
2015-02-22,3908.3869047619046,Alto
2015-03-01,3640.1666666666665,Alto
2015-03-08,3375.179640718563,Alto
2015-03-15,2845.285714285714,Basso
2015-03-22,2800.8273809523807,Basso
2015-03-29,3007.089285714286,Basso
2015-04-05,2666.4583333333335,Basso
2015-04-12,2654.4940476190477,Basso
2015-04-19,2646.0535714285716,Basso
2015-04-26,2656.1964285714284,Basso
2015-05-03,2626.220238095238,Basso
2015-05-10,3142.0238095238096,Alto
2015-05-17,2926.4166666666665,Basso
2015-05-24,2767.9226190476193,Basso
2015-05-31,3175.2976190476193,Alto
2015-06-07,2910.404761904762,Basso
2015-06-14,3622.7559523809523,Alto
2015-06-21,3585.9583333333335,Alto
2015-06-28,3394.0059523809523,Alto
2015-07-05,2999.7976190476193,Basso
2015-07-12,3302.9226190476193,Alto
2015-07-19,3593.595238095238,Alto
2015-07-26,3632.6785714285716,Alto
2015-08-02,3746.029761904762,Alto
2015-08-09,3397.8809523809523,Alto
2015-08-16,3474.809523809524,Alto
2015-08-23,3445.6726190476193,Alto
2015-08-30,3119.3511904761904,Alto
2015-09-06,3752.934523809524,Alto
2015-09-13,3251.3035714285716,Alto
2015-09-20,2948.4880952380954,Basso
2015-09-27,2892.035714285714,Basso
2015-10-04,2793.0833333333335,Basso
2015-10-11,2765.2380952380954,Basso
2015-10-18,2671.2559523809523,Basso
2015-10-25,2671.2261904761904,Basso
2015-11-01,2653.1597633136093,Basso
2015-11-08,2683.7440476190477,Basso
2015-11-15,2784.5119047619046,Basso
2015-11-22,2812.589285714286,Basso
2015-11-29,2634.0,Basso
2015-12-06,3045.934523809524,Basso
2015-12-13,2828.6190476190477,Basso
2015-12-20,3010.3809523809523,Basso
2015-12-27,2639.6726190476193,Basso
2016-01-03,2943.0416666666665,Basso
2016-01-10,3183.875,Alto
2016-01-17,3450.0,Alto
2016-01-24,3716.220238095238,Alto
2016-01-31,3141.065476190476,Alto
2016-02-07,3024.470238095238,Basso
2016-02-14,3588.5773809523807,Alto
2016-02-21,3070.684523809524,Basso
2016-02-28,2985.3928571428573,Basso
2016-03-06,3056.845238095238,Basso
2016-03-13,2679.4730538922154,Basso
2016-03-20,2707.0,Basso
2016-03-27,2647.220238095238,Basso
2016-04-03,2635.2261904761904,Basso
2016-04-10,2865.029761904762,Basso
2016-04-17,2691.9583333333335,Basso
2016-04-24,2683.125,Basso
2016-05-01,2714.845238095238,Basso
2016-05-08,2586.7678571428573,Basso
2016-05-15,2699.6726190476193,Basso
2016-05-22,2622.8333333333335,Basso
2016-05-29,3087.3690476190477,Basso
2016-06-05,3311.3333333333335,Alto
2016-06-12,3223.8928571428573,Alto
2016-06-19,3460.4761904761904,Alto
2016-06-26,3669.6785714285716,Alto
2016-07-03,3296.690476190476,Alto
2016-07-10,3371.690476190476,Alto
2016-07-17,3719.970238095238,Alto
2016-07-24,3983.220238095238,Alto
2016-07-31,3958.1130952380954,Alto
2016-08-07,3900.910714285714,Alto
2016-08-14,3961.6666666666665,Alto
2016-08-21,3609.1726190476193,Alto
2016-08-28,3705.7916666666665,Alto
2016-09-04,3455.9523809523807,Alto
2016-09-11,3685.059523809524,Alto
2016-09-18,3307.9226190476193,Alto
2016-09-25,3497.9285714285716,Alto
2016-10-02,2712.690476190476,Basso
2016-10-09,2829.3630952380954,Basso
2016-10-16,2677.785714285714,Basso
2016-10-23,2828.4821428571427,Basso
2016-10-30,2640.7619047619046,Basso
2016-11-06,2688.473372781065,Basso
2016-11-13,2724.660714285714,Basso
2016-11-20,2824.095238095238,Basso
2016-11-27,2830.6964285714284,Basso
2016-12-04,2926.7083333333335,Basso
2016-12-11,3241.5714285714284,Alto
2016-12-18,3490.1071428571427,Alto
2016-12-25,3270.6071428571427,Alto
2017-01-01,2900.3630952380954,Basso
2017-01-08,3423.5238095238096,Alto
2017-01-15,3193.0,Alto
2017-01-22,2860.440476190476,Basso
2017-01-29,3124.970238095238,Alto
2017-02-05,3235.5476190476193,Alto
2017-02-12,2968.184523809524,Basso
2017-02-19,2869.815476190476,Basso
2017-02-26,2735.8869047619046,Basso
2017-03-05,2924.5119047619046,Basso
2017-03-12,2850.88622754491,Basso
2017-03-19,3183.5119047619046,Alto
2017-03-26,2782.7380952380954,Basso
2017-04-02,2659.8690476190477,Basso
2017-04-09,2675.809523809524,Basso
2017-04-16,2608.839285714286,Basso
2017-04-23,2675.5833333333335,Basso
2017-04-30,2761.589285714286,Basso
2017-05-07,2605.875,Basso
2017-05-14,2660.2380952380954,Basso
2017-05-21,3142.089285714286,Alto
2017-05-28,2842.3809523809523,Basso
2017-06-04,3015.9940476190477,Basso
2017-06-11,3064.9226190476193,Basso
2017-06-18,3629.089285714286,Alto
2017-06-25,3333.6369047619046,Alto
2017-07-02,3240.1964285714284,Alto
2017-07-09,3355.8809523809523,Alto
2017-07-16,3616.2976190476193,Alto
2017-07-23,3908.6190476190477,Alto
2017-07-30,3463.2976190476193,Alto
2017-08-06,3313.339285714286,Alto
2017-08-13,3218.3630952380954,Alto
2017-08-20,3732.839285714286,Alto
2017-08-27,3270.5,Alto
2017-09-03,2913.0714285714284,Basso
2017-09-10,2734.8333333333335,Basso
2017-09-17,2811.9166666666665,Basso
2017-09-24,3429.2678571428573,Alto
2017-10-01,3018.4166666666665,Basso
2017-10-08,2850.5059523809523,Basso
2017-10-15,2770.904761904762,Basso
2017-10-22,2555.1309523809523,Basso
2017-10-29,2679.8511904761904,Basso
2017-11-05,2711.550295857988,Basso
2017-11-12,2862.2440476190477,Basso
2017-11-19,2901.4523809523807,Basso
2017-11-26,2815.6666666666665,Basso
2017-12-03,2858.7023809523807,Basso
2017-12-10,3235.7321428571427,Alto
2017-12-17,3353.220238095238,Alto
2017-12-24,2973.4166666666665,Basso
2017-12-31,3617.0714285714284,Alto
2018-01-07,4102.178571428572,Alto
2018-01-14,3324.7083333333335,Alto
2018-01-21,3567.6071428571427,Alto
2018-01-28,3001.875,Basso
2018-02-04,3310.9583333333335,Alto
2018-02-11,3319.3273809523807,Alto
2018-02-18,3011.684523809524,Basso
2018-02-25,2756.7916666666665,Basso
2018-03-04,2837.309523809524,Basso
2018-03-11,3043.934131736527,Basso
2018-03-18,3078.9464285714284,Basso
2018-03-25,3053.0059523809523,Basso
2018-04-01,2743.8035714285716,Basso
2018-04-08,2870.9226190476193,Basso
2018-04-15,2744.6071428571427,Basso
2018-04-22,2624.0833333333335,Basso
2018-04-29,2434.0059523809523,Basso
2018-05-06,2761.8988095238096,Basso
2018-05-13,3015.785714285714,Basso
2018-05-20,3265.4285714285716,Alto
2018-05-27,3333.059523809524,Alto
2018-06-03,3460.0476190476193,Alto
2018-06-10,3206.1369047619046,Alto
2018-06-17,3503.565476190476,Alto
2018-06-24,3715.589285714286,Alto
2018-07-01,3603.3869047619046,Alto
2018-07-08,3656.434523809524,Alto
2018-07-15,3830.3571428571427,Alto
2018-07-22,3470.660714285714,Alto
2018-07-29,3377.5178571428573,Alto
2018-08-05,3394.082474226804,Alto
