Datetime,NI_MW,Consumption
2004-05-02,8759.297872340425,Basso
2004-05-09,9981.755952380952,Basso
2004-05-16,10794.958333333334,Basso
2004-05-23,10868.69642857143,Basso
2004-05-30,10030.214285714286,Basso
2004-06-06,9989.190476190477,Basso
2004-06-13,13250.744047619048,Alto
2004-06-20,12074.529761904761,Alto
2004-06-27,10566.720238095239,Basso
2004-07-04,12110.875,Alto
2004-07-11,11508.892857142857,Basso
2004-07-18,13147.892857142857,Alto
2004-07-25,12922.041666666666,Alto
2004-08-01,12082.130952380952,Alto
2004-08-08,12411.17857142857,Alto
2004-08-15,10621.42857142857,Basso
2004-08-22,11150.375,Basso
2004-08-29,12480.285714285714,Alto
2004-09-05,12451.994047619048,Alto
2004-09-12,11283.452380952382,Basso
2004-09-19,12143.625,Alto
2004-09-26,11323.422619047618,Basso
2004-10-03,10162.67857142857,Basso
2004-10-10,10119.815476190477,Basso
2004-10-17,10076.10119047619,Basso
2004-10-24,10206.35119047619,Basso
2004-10-31,10256.814371257486,Basso
2004-11-07,10355.761904761905,Basso
2004-11-14,10517.982142857143,Basso
2004-11-21,10521.791666666666,Basso
2004-11-28,10232.75,Basso
2004-12-05,11291.434523809523,Basso
2004-12-12,11250.17857142857,Basso
2004-12-19,12020.875,Alto
2004-12-26,12132.535714285714,Alto
2005-01-02,10765.505952380952,Basso
2005-01-09,11715.232142857143,Alto
2005-01-16,11905.952380952382,Alto
2005-01-23,12417.202380952382,Alto
2005-01-30,11759.886904761905,Alto
2005-02-06,11157.095238095239,Basso
2005-02-13,11261.833333333334,Basso
2005-02-20,11401.684523809523,Basso
2005-02-27,11182.714285714286,Basso
2005-03-06,11238.92857142857,Basso
2005-03-13,11204.166666666666,Basso
2005-03-20,10910.863095238095,Basso
2005-03-27,10557.42857142857,Basso
2005-04-03,10018.700598802396,Basso
2005-04-10,10008.625,Basso
2005-04-17,9990.494047619048,Basso
2005-04-24,10235.732142857143,Basso
2005-05-01,9952.708333333334,Basso
2005-05-08,10068.630952380952,Basso
2005-05-15,10215.654761904761,Basso
2005-05-22,10115.988095238095,Basso
2005-05-29,9986.136904761905,Basso
2005-06-05,10652.755952380952,Basso
2005-06-12,14801.482142857143,Alto
2005-06-19,11814.0,Alto
2005-06-26,14778.72619047619,Alto
2005-07-03,14528.19642857143,Alto
2005-07-10,12859.142857142857,Alto
2005-07-17,15136.666666666666,Alto
2005-07-24,15815.738095238095,Alto
2005-07-31,13885.904761904761,Alto
2005-08-07,15595.577380952382,Alto
2005-08-14,14585.029761904761,Alto
2005-08-21,14063.279761904761,Alto
2005-08-28,12558.845238095239,Alto
2005-09-04,12574.345238095239,Alto
2005-09-11,13819.07142857143,Alto
2005-09-18,12629.857142857143,Alto
2005-09-25,12234.214285714286,Alto
2005-10-02,10730.815476190477,Basso
2005-10-09,11862.94642857143,Alto
2005-10-16,10312.214285714286,Basso
2005-10-23,10314.315476190477,Basso
2005-10-30,10504.898203592815,Basso
2005-11-06,10369.619047619048,Basso
2005-11-13,10444.559523809523,Basso
2005-11-20,11280.297619047618,Basso
2005-11-27,10764.535714285714,Basso
2005-12-04,11936.386904761905,Alto
2005-12-11,12854.142857142857,Alto
2005-12-18,12591.482142857143,Alto
2005-12-25,12135.458333333334,Alto
2006-01-01,10883.708333333334,Basso
2006-01-08,11293.886904761905,Basso
2006-01-15,11382.464285714286,Basso
2006-01-22,11454.0,Basso
2006-01-29,11418.607142857143,Basso
2006-02-05,11436.279761904761,Basso
2006-02-12,11785.72619047619,Alto
2006-02-19,12073.339285714286,Alto
2006-02-26,11601.125,Basso
2006-03-05,11428.809523809523,Basso
2006-03-12,10842.595238095239,Basso
2006-03-19,11082.190476190477,Basso
2006-03-26,11108.583333333334,Basso
2006-04-02,10536.299401197604,Basso
2006-04-09,10545.267857142857,Basso
2006-04-16,10110.684523809523,Basso
2006-04-23,10116.720238095239,Basso
2006-04-30,10189.922619047618,Basso
2006-05-07,10149.083333333334,Basso
2006-05-14,10330.845238095239,Basso
2006-05-21,10117.880952380952,Basso
2006-05-28,11386.767857142857,Basso
2006-06-04,12337.720238095239,Alto
2006-06-11,11542.886904761905,Basso
2006-06-18,12670.02380952381,Alto
2006-06-25,12762.113095238095,Alto
2006-07-02,12433.327380952382,Alto
2006-07-09,12503.869047619048,Alto
2006-07-16,14741.880952380952,Alto
2006-07-23,14592.875,Alto
2006-07-30,16235.059523809523,Alto
2006-08-06,16562.73214285714,Alto
2006-08-13,13542.30357142857,Alto
2006-08-20,13315.613095238095,Alto
2006-08-27,13650.19642857143,Alto
2006-09-03,11665.910714285714,Basso
2006-09-10,11524.47619047619,Basso
2006-09-17,11408.77380952381,Basso
2006-09-24,10636.244047619048,Basso
2006-10-01,10454.059523809523,Basso
2006-10-08,10751.345238095239,Basso
2006-10-15,10661.583333333334,Basso
2006-10-22,10661.017857142857,Basso
2006-10-29,10972.071856287424,Basso
2006-11-05,11022.339285714286,Basso
2006-11-12,10834.684523809523,Basso
2006-11-19,11280.375,Basso
2006-11-26,10295.505952380952,Basso
2006-12-03,11701.75,Alto
2006-12-10,12801.07142857143,Alto
2006-12-17,11720.982142857143,Alto
2006-12-24,11636.982142857143,Basso
2006-12-31,10693.47619047619,Basso
2007-01-07,10953.880952380952,Basso
2007-01-14,11770.75,Alto
2007-01-21,12272.642857142857,Alto
2007-01-28,12163.434523809523,Alto
2007-02-04,13145.755952380952,Alto
2007-02-11,13608.892857142857,Alto
2007-02-18,12798.07142857143,Alto
2007-02-25,11793.97619047619,Alto
2007-03-04,11952.833333333334,Alto
2007-03-11,11589.329341317365,Basso
2007-03-18,10955.220238095239,Basso
2007-03-25,10703.244047619048,Basso
2007-04-01,10443.369047619048,Basso
2007-04-08,10761.369047619048,Basso
2007-04-15,10898.25,Basso
2007-04-22,10372.613095238095,Basso
2007-04-29,10422.761904761905,Basso
2007-05-06,10297.244047619048,Basso
2007-05-13,10975.14880952381,Basso
2007-05-20,10721.32142857143,Basso
2007-05-27,11393.238095238095,Basso
2007-06-03,12387.0,Alto
2007-06-10,11785.72619047619,Alto
2007-06-17,14084.869047619048,Alto
2007-06-24,12846.482142857143,Alto
2007-07-01,13011.172619047618,Alto
2007-07-08,13685.166666666666,Alto
2007-07-15,13276.797619047618,Alto
2007-07-22,12949.089285714286,Alto
2007-07-29,13667.315476190477,Alto
2007-08-05,15317.202380952382,Alto
2007-08-12,16050.630952380952,Alto
2007-08-19,13191.863095238095,Alto
2007-08-26,13861.345238095239,Alto
2007-09-02,13257.416666666666,Alto
2007-09-09,14026.172619047618,Alto
2007-09-16,10844.916666666666,Basso
2007-09-23,12670.809523809523,Alto
2007-09-30,12131.64880952381,Alto
2007-10-07,12660.05357142857,Alto
2007-10-14,11156.547619047618,Basso
2007-10-21,10811.57142857143,Basso
2007-10-28,10571.011904761905,Basso
2007-11-04,10610.323353293414,Basso
2007-11-11,10950.410714285714,Basso
2007-11-18,11020.047619047618,Basso
2007-11-25,10830.755952380952,Basso
2007-12-02,12096.779761904761,Alto
2007-12-09,12638.0,Alto
2007-12-16,12514.636904761905,Alto
2007-12-23,12340.630952380952,Alto
2007-12-30,11316.85119047619,Basso
2008-01-06,11913.029761904761,Alto
2008-01-13,11544.630952380952,Basso
2008-01-20,12905.952380952382,Alto
2008-01-27,13085.922619047618,Alto
2008-02-03,12540.404761904761,Alto
2008-02-10,12312.029761904761,Alto
2008-02-17,12730.958333333334,Alto
2008-02-24,12646.315476190477,Alto
2008-03-02,12025.208333333334,Alto
2008-03-09,12067.40119760479,Alto
2008-03-16,11274.910714285714,Basso
2008-03-23,11170.029761904761,Basso
2008-03-30,11082.190476190477,Basso
2008-04-06,10790.113095238095,Basso
2008-04-13,10826.440476190477,Basso
2008-04-20,10442.57142857143,Basso
2008-04-27,10421.113095238095,Basso
2008-05-04,10471.934523809523,Basso
2008-05-11,10386.119047619048,Basso
2008-05-18,10300.47619047619,Basso
2008-05-25,10147.434523809523,Basso
2008-06-01,10403.25,Basso
2008-06-08,13048.267857142857,Alto
2008-06-15,13117.05357142857,Alto
2008-06-22,11624.482142857143,Basso
2008-06-29,12870.589285714286,Alto
2008-07-06,11734.238095238095,Alto
2008-07-13,13894.107142857143,Alto
2008-07-20,14931.636904761905,Alto
2008-07-27,13419.339285714286,Alto
2008-08-03,15058.160714285714,Alto
2008-08-10,13144.92857142857,Alto
2008-08-17,12312.809523809523,Alto
2008-08-24,13924.05357142857,Alto
2008-08-31,12776.363095238095,Alto
2008-09-07,12198.80357142857,Alto
2008-09-14,11471.422619047618,Basso
2008-09-21,11335.714285714286,Basso
2008-09-28,11944.404761904761,Alto
2008-10-05,10322.684523809523,Basso
2008-10-12,10550.767857142857,Basso
2008-10-19,10550.416666666666,Basso
2008-10-26,10493.595238095239,Basso
2008-11-02,10722.520958083833,Basso
2008-11-09,10776.52380952381,Basso
2008-11-16,11171.470238095239,Basso
2008-11-23,11795.05357142857,Alto
2008-11-30,10852.035714285714,Basso
2008-12-07,12499.791666666666,Alto
2008-12-14,12439.47619047619,Alto
2008-12-21,13094.595238095239,Alto
2008-12-28,11883.767857142857,Alto
2009-01-04,11393.72619047619,Basso
2009-01-11,12421.69642857143,Alto
2009-01-18,13287.80357142857,Alto
2009-01-25,12593.339285714286,Alto
2009-02-01,12615.10119047619,Alto
2009-02-08,12070.839285714286,Alto
2009-02-15,11233.077380952382,Basso
2009-02-22,11855.238095238095,Alto
2009-03-01,11702.827380952382,Alto
2009-03-08,11192.922155688622,Basso
2009-03-15,11155.297619047618,Basso
2009-03-22,10279.47619047619,Basso
2009-03-29,10430.232142857143,Basso
2009-04-05,10518.559523809523,Basso
2009-04-12,10181.934523809523,Basso
2009-04-19,10160.785714285714,Basso
2009-04-26,10177.52380952381,Basso
2009-05-03,9952.791666666666,Basso
2009-05-10,9926.988095238095,Basso
2009-05-17,9860.154761904761,Basso
2009-05-24,10319.386904761905,Basso
2009-05-31,9792.541666666666,Basso
2009-06-07,10013.910714285714,Basso
2009-06-14,10222.0,Basso
2009-06-21,11759.845238095239,Alto
2009-06-28,15274.238095238095,Alto
2009-07-05,10464.083333333334,Basso
2009-07-12,11727.660714285714,Alto
2009-07-19,11509.25,Basso
2009-07-26,11733.619047619048,Alto
2009-08-02,12095.238095238095,Alto
2009-08-09,13021.02380952381,Alto
2009-08-16,13841.333333333334,Alto
2009-08-23,12080.190476190477,Alto
2009-08-30,11082.863095238095,Basso
2009-09-06,10546.47619047619,Basso
2009-09-13,11394.452380952382,Basso
2009-09-20,11172.922619047618,Basso
2009-09-27,10893.952380952382,Basso
2009-10-04,9976.077380952382,Basso
2009-10-11,10170.47619047619,Basso
2009-10-18,10428.30357142857,Basso
2009-10-25,10280.779761904761,Basso
2009-11-01,10379.20359281437,Basso
2009-11-08,10389.994047619048,Basso
2009-11-15,10381.797619047618,Basso
2009-11-22,10628.261904761905,Basso
2009-11-29,10344.517857142857,Basso
2009-12-06,11539.815476190477,Basso
2009-12-13,12467.72619047619,Alto
2009-12-20,12288.89880952381,Alto
2009-12-27,11566.755952380952,Basso
2010-01-03,12019.839285714286,Alto
2010-01-10,12800.17857142857,Alto
2010-01-17,12063.261904761905,Alto
2010-01-24,11632.297619047618,Basso
2010-01-31,12468.005952380952,Alto
2010-02-07,11881.845238095239,Alto
2010-02-14,11943.970238095239,Alto
2010-02-21,11521.244047619048,Basso
2010-02-28,11576.285714285714,Basso
2010-03-07,11175.934523809523,Basso
2010-03-14,10696.101796407185,Basso
2010-03-21,10485.791666666666,Basso
2010-03-28,10547.779761904761,Basso
2010-04-04,9890.952380952382,Basso
2010-04-11,10105.488095238095,Basso
2010-04-18,10035.488095238095,Basso
2010-04-25,9896.517857142857,Basso
2010-05-02,10058.238095238095,Basso
2010-05-09,9903.333333333334,Basso
2010-05-16,10112.119047619048,Basso
2010-05-23,10552.404761904761,Basso
2010-05-30,13346.07142857143,Alto
2010-06-06,12036.815476190477,Alto
2010-06-13,11831.654761904761,Alto
2010-06-20,12774.529761904761,Alto
2010-06-27,14173.42857142857,Alto
2010-07-04,12539.69642857143,Alto
2010-07-11,15122.029761904761,Alto
2010-07-18,15642.672619047618,Alto
2010-07-25,15245.05357142857,Alto
2010-08-01,14169.119047619048,Alto
2010-08-08,14125.880952380952,Alto
2010-08-15,16321.214285714286,Alto
2010-08-22,14048.797619047618,Alto
2010-08-29,13220.970238095239,Alto
2010-09-05,13303.654761904761,Alto
2010-09-12,10584.863095238095,Basso
2010-09-19,10920.64880952381,Basso
2010-09-26,11415.14880952381,Basso
2010-10-03,10132.517857142857,Basso
2010-10-10,10351.035714285714,Basso
2010-10-17,10204.922619047618,Basso
2010-10-24,10014.779761904761,Basso
2010-10-31,10235.184523809523,Basso
2010-11-07,10537.832335329342,Basso
2010-11-14,10313.85119047619,Basso
2010-11-21,10774.589285714286,Basso
2010-11-28,10738.07142857143,Basso
2010-12-05,11903.708333333334,Alto
2010-12-12,12558.790419161676,Alto
2010-12-19,12974.25,Alto
2010-12-26,11807.660714285714,Alto
2011-01-02,11658.471074380166,Basso
